H	0
He	0
Li	1
Be	2
B	0
C	0
N	0
O	0
F	0
Ne	0
Na	1
Mg	2
Al	3
Si	0
P	0
S	0
Cl	0
Ar	0
K	1
Ca	2
Sc	3
Ti	4
V	4
Cr	3
Mn	2
Fe	2
Co	2
Ni	2
Cu	2
Zn	2
Ga	3
Ge	0
As	0
Se	0
Br	0
Kr	0
Rb	1
Sr	2
Y	3
Zr	4
Nb	4
Mo	4
Tc	2
Ru	2
Rh	2
Pd	2
Ag	1
Cd	2
In	3
Sn	2
Sb	0
Te	0
I	0
Xe	0
Cs	1
Ba	1
La	2
Ce	3
Pr	3
Nd	1
Pm	1
Sm	1
Eu	1
Gd	1
Tb	1
Dy	1
Ho	1
Er	1
Tm	2
Yb	2
Lu	1
Hf	3
Ta	0
W	0
Re	0
Os	0
Ir	0
Pt	1
Au	1
Hg	1
Tl	1
Pb	2
Bi	3
Po	0
